Plot_ID,Burn_status,Fire_ID,Fire_Name,Field_Date,Aspect,Slope_%,UTM_Zone,UTM_E,UTM_N,LFH_cov,Moss_cov,Soil_Rock_cov,Fuelbed_cov,CBI_A,herb_cov,shrub_cov,tree_cov,CBI_B,CBI_C,CBI_D,CBI_US,CBI_Over,CBI_tot,DOB_average,CWD_Pattern,broadcast_burned,disc_trenched,mounded,brushed,spaced,Lv_Pli_BA,Dd_Pli_BA,Lv_Sx_BA,Dd_Sx_BA,Lv_Bl_BA,Dd_Bl_BA,Lv_At_BA,Dd_At_BA,Lv_Ac_BA,Dd_Ac_BA,Lv_W_BA,Dd_W_BA,Lv_oth_BA,Dd_oth_BA,Prism_BA,CanopyBaseHt,PCQ_density
PC19,unburned,C10784,Plateau,2021-08-18,209,12,10,448397,5816784,50,25,2,3,0,35,25,55,0,0,0,0,0,0,0,few,,,,0,0,21,11,0,0,0,0,0,0,0,0,0,0,0,0,64,6.04,338
PC20,burned,C10784,Plateau,2021-08-18,210,15,10,448354,5816674,50,25,2,3,3,35,25,55,2.375,2.75,2.1,2.708333333,2.1,2.616666667,6.2,sparse,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,68,5.06,2606
PC21,burned,C10784,Plateau,2021-08-18,40,10,10,453123,5812304,40,25,1,10,2.25,40,30,35,2.75,2.625,1.25,2.541666667,1.25,2.041666667,0,few,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,40,3.73,1377
PC22,unburned,C10784,Plateau,2021-08-19,190,5,10,455920,5823646,60,15,2,2,0,30,10,55,0,0,0,0,0,0,0,few,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4.46,5963
PC23,burned,C10784,Plateau,2021-08-19,320,2,10,456078,5823598,60,15,2,2,2.875,30,10,55,2.625,2.625,2.333333333,2.708333333,2.333333333,2.611111111,8.4,sparse,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,6.54,1201
PC24,unburned,C10784,Plateau,2021-08-19,280,4,10,454703,5822079,30,30,2,1,0,65,25,35,0,0,0,0,0,0,0,sparse,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.06,2071
PC25,burned,C10784,Plateau,2021-08-19,310,3,10,454695,5822032,30,30,2,1,2.625,65,25,35,2.75,2.625,2,2.666666667,2,2.416666667,9.3,sparse,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,34,1.2,3870
PC26,unburned,C10784,Plateau,2021-08-19,255,20,10,425316,5816397,35,13,3,1,0,60,35,45,0,0,0,0,0,0,0,sparse,1,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2.07,3930
PC27,burned,C10784,Plateau,2021-08-19,262,25,10,425331,5816305,35,13,3,1,2.5,60,35,45,2.75,2.375,1.333333333,2.541666667,1.333333333,2.069444444,3.7,sparse,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,32,2.47,4853
PC28,unburned,C10784,Plateau,2021-08-19,250,19,10,425485,5815652,40,25,1,1,0,55,40,25,0,0,0,0,0,0,0,sparse,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,48,2.2,2575
PC29,unburned,C10784,Plateau,2021-08-19,242,17,10,426950,5813532,45,15,1,2,0,25,50,40,0,0,0,0,0,0,0,sparse,0,1,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,46,2.41,2231
PC30,unburned,C10784,Plateau,2021-08-19,N/A,0,10,428820,5813947,60,15,0,8,0,30,15,45,0,0,0,0,0,0,0,few,0,1,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,38,4.34,3324
PC31,unburned,C10784,Plateau,2021-08-19,231,4,10,428488,5815656,50,25,4,5,0,60,25,40,0,0,0,0,0,0,0,sparse,1,1,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.36,1972
PC32,burned,C10784,Plateau,2021-08-19,91,11,10,427684,5813316,50,25,4,5,2.125,60,25,40,2.875,2.375,1.583333333,2.458333333,1.583333333,2.027777778,11.3,clusters,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,58,5.49,5039
SL01,burned,R11498,Shovel,2021-08-12,212,44,10,370379,6019883,40,40,10,10,0.55,30,10,65,2.5,2.375,0.666666667,1.808333333,0.666666667,1.197222222,2.7,sparse,0,0,0,0,0,27,4,0,1,0,9,0,0,0,0,0,0,0,0,82,3.12,
SL02,unburned,R11498,Shovel,2021-08-12,50,2,10,370461,6019515,80,12,1,6,0,17,12,80,0,0,0,0,0,0,0,sparse,1,0,0,0,0,52,5,0,0,0,0,0,0,4,0,0,0,0,0,122,3.62,
SL03,unburned,R11498,Shovel,2021-08-12,222,32,10,371214,6018608,20,40,5,5,0,70,5,50,0,0,0,0,0,0,0,sparse,0,1,0,0,0,19,0,2,0,3,0,0,0,0,0,0,0,0,0,48,3.76,
SL04,burned,R11498,Shovel,2021-08-12,204,35,10,371230,6018574,25,25,1,10,1.375,70,2,40,2.125,2.375,1.833333333,1.958333333,1.833333333,1.861111111,4.4,few,0,1,0,0,0,2,20,2,2,0,15,0,0,0,0,0,0,0,0,82,2.04,
SL05,unburned,R11498,Shovel,2021-08-12,200,9,10,372121,6017533,40,45,1,10,0,60,60,65,0,0,0,0,0,0,0,sparse,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6.34,
SL06,unburned,R11498,Shovel,2021-08-13,128,8,10,373700,6000338,15,60,1,1,0,65,4,60,0,0,0,0,0,0,0,sparse,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,70,3.68,
SL07,burned,R11498,Shovel,2021-08-13,195,13,10,373635,6000735,20,10,1,5,1,70,5,68,2.5,2.75,1.833333333,2.083333333,1.833333333,1.861111111,6,few,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,86,4.9,
SL08,burned,R11498,Shovel,2021-08-13,140,20,10,375497,6002010,,,,,2.875,,,,2.5,2.875,2.3,2.75,2.3,2.683333333,7.1,sparse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.64,
SL09,unburned,R11498,Shovel,2021-08-13,207,8,10,375992,6002630,30,60,1,9,0,20,50,72,0,0,0,0,0,0,0,few,0,0,0,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7.57,
SL10,burned,R11498,Shovel,2021-08-13,176,18,10,375963,6002782,30,60,1,9,2.625,20,50,72,2.875,2.75,2.083333333,2.75,2.083333333,2.486111111,10,sparse,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,56,4.76,
SL11,unburned,R11498,Shovel,2021-08-13,115,11,10,377699,6004185,15,55,0,0,0,60,10,80,0,0,0,0,0,0,0,few,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6.05,
SL12,unburned,R11498,Shovel,2021-08-13,345,9,10,378872,6015549,20,50,2,2,0,25,5,50,0,0,0,0,0,0,0,sparse,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5.38,3095
SL13,burned,R11498,Shovel,2021-08-13,281,13,10,380565,6014840,30,20,1,5,2.875,50,15,65,2.875,2.625,2.166666667,2.791666667,2.166666667,2.555555556,9.8,sparse,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2.93,1080
SL14,unburned,R11498,Shovel,2021-08-13,190,14,10,380360,6014807,15,20,1,1,0,55,10,55,0,0,0,0,0,0,0,sparse,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4.77,1476
SL15,unburned,R11498,Shovel,2021-08-13,205,21,10,380364,6014796,35,50,1,5,0,10,55,80,0,0,0,0,0,0,0,sparse,0,0,0,0,0,45,0,0,0,6,0,0,0,0,0,0,0,0,0,102,6.67,4057
SL16,burned,R11498,Shovel,2021-08-13,20,1,10,381501,6017758,20,10,0,40,1.4,40,1,40,2.875,2.5,1.5,2.258333333,1.5,1.8,7.6,sparse,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,76,3.46,3640
SL17,unburned,R11498,Shovel,2021-08-13,49,4,10,382058,6018914,50,35,1,8,0,15,70,65,0,0,0,0,0,0,0,sparse,0,1,0,0,0,29,0,8,0,0,0,0,0,0,0,0,0,0,0,74,5.81,2727
