Plot_ID,Burn_status,Fire_ID,Fire_Name,Field_Date,Aspect,Slope_%,UTM_Zone,UTM_E,UTM_N,LFH_cov,Moss_cov,Soil_Rock_cov,Fuelbed_cov,CBI_A,herb_cov,shrub_cov,tree_cov,CBI_B,CBI_C,CBI_D,CBI_US,CBI_Over,CBI_tot,DOB_average,CWD_Pattern,broadcast_burned,disc_trenched,mounded,brushed,spaced,Lv_Pli_BA,Dd_Pli_BA,Lv_Sx_BA,Dd_Sx_BA,Lv_Bl_BA,Dd_Bl_BA,Lv_At_BA,Dd_At_BA,Lv_Ac_BA,Dd_Ac_BA,Lv_W_BA,Dd_W_BA,Lv_oth_BA,Dd_oth_BA,Prism_BA,CanopyBaseHt,PCQ_density
VM22,unburned,R11796,Verdun,2021-08-27,241,6,10,327191,5968129,25,20,1,5,0,60,45,70,0,0,0,0,0,0,0,sparse,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5.52,2345
VM23,burned,R11796,Verdun,2021-08-27,200,10,10,327116,5968036,25,20,1,5,2.75,60,45,70,2.875,3,2.083333333,2.875,2.083333333,2.611111111,8.7,sparse,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,50,4.16,1419
VM24,unburned,R11796,Verdun,2021-08-27,326,7,10,329075,5972639,35,35,1,8,0,70,8,55,0,0,0,0,0,0,0,large,1,0,0,0,0,50,0,5,0,0,0,0,0,0,0,0,0,0,0,110,3.29,3575
VM25,burned,R11796,Verdun,2021-08-27,312,10,10,329016,5972670,35,35,1,8,2.625,70,8,55,2.875,2.125,1.8,2.541666667,1.8,2.183333333,9.4,sparse,1,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,74,3.32,2268
VM26,burned,R11796,Verdun,2021-08-27,85,10,10,322277,5972327,25,20,1,5,3,50,10,50,2.875,2.75,2.166666667,2.875,2.166666667,2.638888889,9.2,sparse,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,82,6.64,16976
VM27,unburned,R11796,Verdun,2021-08-28,239,8,10,332933,5970735,25,70,0,5,0,20,25,65,0,0,0,0,0,0,0,sparse,0,0,0,1,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,82,5.41,2734
VM28,burned,R11796,Verdun,2021-08-28,230,13,10,330696,5971265,20,60,1,5,2.75,55,10,55,2.625,2.5,2.083333333,2.625,2.083333333,2.444444444,7.9,sparse,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,68,4.08,3491
VM29,unburned,R11796,Verdun,2021-08-28,23,6,10,337214,5970939,70,15,0,7,0,20,70,55,0,0,0,0,0,0,0,sparse,0,0,0,0,0,36,5,2,0,0,0,0,0,0,0,0,0,0,0,86,4.62,5590
VM30,burned,R11796,Verdun,2021-08-28,358,7,10,337168,5970888,70,15,0,7,2.625,20,70,55,2.875,2.25,2.083333333,2.583333333,2.083333333,2.319444444,5.7,sparse,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,60,2.9,11624
IL01,unburned,R11921,Island,2021-08-28,158,12,10,348496,5974067,15,55,2,10,0,50,5,50,0,0,0,0,0,0,0,few,0,1,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10.76,2720
