OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,SITEPr_6_Type,SITEPr_6_Meth,SITEPr_6_Area,SITEPr_6_Date,SITEPr_7_Type,SITEPr_7_Meth,SITEPr_7_Area,SITEPr_7_Date,SITEPr_8_Type,SITEPr_8_Meth,SITEPr_8_Area,SITEPr_8_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANT_1_SP7,PLANT_1_NUM7,PLANT_1_SP8,PLANT_1_NUM8,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANT_2_SP6,PLANT_2_NUM6,PLANT_2_SP7,PLANT_2_NUM7,PLANT_2_SP8,PLANT_2_NUM8,PLANT_2_SP9,PLANT_2_NUM9,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_3_SP4,PLANT_3_NUM4,PLANT_3_SP5,PLANT_3_NUM5,PLANT_3_SP6,PLANT_3_NUM6,PLANT_3_SP7,PLANT_3_NUM7,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_4_SP3,PLANT_4_NUM3,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2
-621070000,ME,MOUND,1,01/04/1992,ME,TRAIL,41,01/09/1986,5,BU,LAND,3,01/12/1986,BU,LAND,3,01/10/1982,ME,CHAIN,47,01/09/1982,,,,,,,,,,,,,PL,37,01/05/1988,PLI,36000,NA,NA,,,,,,,,,,,,,PL,1,01/05/1992,SW,1200,NA,NA,,,,,,,,,,,,,,,3,PL,PL,2,01/05/1989,PLI,2000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-621050000,ME,MOUND,4,01/04/1992,BU,BROAD,78,01/09/1983,3,ME,MOUND,16,01/05/1991,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,3,01/05/1985,PLI,5000,NA,NA,,,,,,,,,,,,,PL,14,01/05/1989,PLI,20000,NA,NA,,,,,,,,,,,,,,,6,PL,PL,4,01/05/1992,SW,5000,NA,NA,,,,,,,,,,,PL,PL,16,01/05/1991,SW,14000,,,,,PL,PL,36,01/06/1987,PLI,57000,,,PL,PL,25,01/05/1985,PLI,44000,,
-587550000,BU,PBURN,7,01/05/1984,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,7,01/03/1985,PLI,7000,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-587300000,ME,TRAIL,3,01/08/1988,ME,CHAIN,3,01/01/1979,3,BU,LAND,44,01/01/1979,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,2,01/06/1985,PLI,3000,NA,NA,,,,,,,,,,,,,PL,13,01/05/1984,PLI,16000,SX,0,,,,,,,,,,,,,,,3,PL,PL,3,01/05/1989,SX,5000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-575490000,ME,TRAIL,58,01/07/1993,GS,ROADS,69.9,15/05/1993,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,58.7,04/06/1994,PLI,51480,SX,15120,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-575480000,GS,ROADS,2.7,15/05/1993,ME,TRAIL,44,01/07/1993,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,55,06/06/1994,PLI,66600,SX,6750,,,,,,,,,,,,,SX,14650,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-573880000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,3,01/05/1992,PLI,6000,NA,NA,,,,,,,,,,,,,PL,3.3,30/06/2014,SX,5355,NA,NA,,,,,,,,,,,,,,,5,PL,FP,3.3,15/06/2004,PLI,600,SX,1200,SX,2100,,,,,,,,,PL,FP,3.3,30/06/2016,SX,2635,PLI,2280,FDI,1395,,,,,,,,,,,,,,,,
-573570000,BU,LAND,62,01/01/1974,BU,LAND,22,01/01/1974,3,ME,TRAIL,19,01/08/1988,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,19,01/05/1989,PLI,27000,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11421,ME,NA,12,01/04/1992,ME,NA,3.3,01/09/1992,8,ME,MOUND,2.7,01/05/1998,ME,NA,11.3,01/08/1990,ME,NA,10.9,01/10/1990,ME,NA,4,01/02/1991,ME,NA,01/10/1991,69.3,ME,NA,01/11/1991,62.1,PL,93.9,01/06/1993,PLI,115337,SX,300,,,,,,,,,,,,,FP,2.7,01/05/1999,PLI,3150,NA,NA,,,,,,,,,,,,,,,3,PL,PL,61.2,01/05/1992,PLI,18400,SW,56920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
