"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
-478770000,"ME",NA,2,1994-06-30,"BU",NA,5,1993-11-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",12.4,1995-05-25,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478760000,"BU",NA,59,1980-10-01,"ME",NA,59,1979-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-478750000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",1,1993-04-01,NA,NA,NA,NA,"FP",14,1993-04-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-478740000,"ME",NA,13.7,1993-10-01,"ME",NA,2,1994-05-31,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",13.7,1994-05-23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478730000,"ME",NA,11.8,1993-10-08,"ME",NA,1,1994-05-31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",11.8,1994-05-23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478720000,"BU",NA,1,1993-07-01,"ME",NA,9.8,1993-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",9.6,1994-05-13,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478710000,"ME",NA,72,1993-10-08,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",73.4,1994-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478700000,"BU",NA,4,1993-11-01,"ME",NA,1,1994-05-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",25,1993-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478690000,"BU",NA,1,1993-11-01,"ME",NA,10.1,1993-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",9.8,1994-05-23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478680000,"BU",NA,1,1993-11-01,"ME",NA,10,1993-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",5,1994-05-23,NA,NA,NA,NA,"PL",10,1994-05-23,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-478670000,"BU",NA,1,1993-11-01,"ME",NA,7,1993-07-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RP",3.1,1997-06-23,NA,NA,NA,NA,"PL",14.2,1994-05-21,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-478650000,"BU",NA,44,1991-12-01,"ME",NA,6.1,1996-08-16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",15.1,1997-06-23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478640000,"ME",NA,37,1991-12-01,"BU",NA,37,1991-12-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",37.6,1997-06-23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478630000,"ME",NA,52,1987-10-01,"ME",NA,60.3,1993-10-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",67,1994-05-07,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-478620000,"ME",NA,17,1987-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-478610000,"GS",NA,0,1987-01-01,"ME",NA,31,1985-08-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-478600000,"GS",NA,52,1987-01-01,"ME",NA,52,1985-08-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-478590000,"MA",NA,3,1986-10-01,"BU",NA,3,1986-11-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-478580000,"MA",NA,58,1992-11-01,"BU",NA,79,1986-10-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",32,1994-05-07,NA,NA,NA,NA,"PL",14,1993-04-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-478570000,"ME",NA,13,1986-05-01,"BU",NA,13,1986-05-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",8,1993-04-01,NA,NA,NA,NA,"FP",5,1993-04-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-478550000,"GS",NA,15,1986-05-01,"ME",NA,15,1986-05-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",19,1993-04-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
