OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,SITEPr_6_Type,SITEPr_6_Meth,SITEPr_6_Area,SITEPr_6_Date,SITEPr_7_Type,SITEPr_7_Meth,SITEPr_7_Area,SITEPr_7_Date,SITEPr_8_Type,SITEPr_8_Meth,SITEPr_8_Area,SITEPr_8_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANT_1_SP7,PLANT_1_NUM7,PLANT_1_SP8,PLANT_1_NUM8,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANT_2_SP6,PLANT_2_NUM6,PLANT_2_SP7,PLANT_2_NUM7,PLANT_2_SP8,PLANT_2_NUM8,PLANT_2_SP9,PLANT_2_NUM9,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_3_SP4,PLANT_3_NUM4,PLANT_3_SP5,PLANT_3_NUM5,PLANT_3_SP6,PLANT_3_NUM6,PLANT_3_SP7,PLANT_3_NUM7,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_4_SP3,PLANT_4_NUM3,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2
-621070000,ME,MOUND,1,1992-04-01,ME,TRAIL,41,1986-09-01,5,BU,LAND,3,01/12/1986,BU,LAND,3,01/10/1982,ME,CHAIN,47,01/09/1982,,,,,,,,,,,,,PL,37,1988-05-01,PLI,36000,NA,NA,,,,,,,,,,,,,PL,1,1992-05-01,SW,1200,NA,NA,,,,,,,,,,,,,,,3,PL,PL,2,01/05/1989,PLI,2000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-621050000,ME,MOUND,4,1992-04-01,BU,BROAD,78,1983-09-01,3,ME,MOUND,16,01/05/1991,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,3,1985-05-01,PLI,5000,NA,NA,,,,,,,,,,,,,PL,14,1989-05-01,PLI,20000,NA,NA,,,,,,,,,,,,,,,6,PL,PL,4,01/05/1992,SW,5000,NA,NA,,,,,,,,,,,PL,PL,16,01/05/1991,SW,14000,,,,,PL,PL,36,01/06/1987,PLI,57000,,,PL,PL,25,01/05/1985,PLI,44000,,
-587550000,BU,PBURN,7,1984-05-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,7,1985-03-01,PLI,7000,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-587300000,ME,TRAIL,3,1988-08-01,ME,CHAIN,3,1979-01-01,3,BU,LAND,44,01/01/1979,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,2,1985-06-01,PLI,3000,NA,NA,,,,,,,,,,,,,PL,13,1984-05-01,PLI,16000,SX,0,,,,,,,,,,,,,,,3,PL,PL,3,01/05/1989,SX,5000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-575490000,ME,TRAIL,58,1993-07-01,GS,ROADS,69.9,1993-05-15,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,58.7,1994-06-04,PLI,51480,SX,15120,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-575480000,GS,ROADS,2.7,1993-05-15,ME,TRAIL,44,1993-07-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,55,1994-06-06,PLI,66600,SX,6750,,,,,,,,,,,,,SX,14650,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-573880000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,3,1992-05-01,PLI,6000,NA,NA,,,,,,,,,,,,,PL,3.3,2014-06-30,SX,5355,NA,NA,,,,,,,,,,,,,,,5,PL,FP,3.3,15/06/2004,PLI,600,SX,1200,SX,2100,,,,,,,,,PL,FP,3.3,30/06/2016,SX,2635,PLI,2280,FDI,1395,,,,,,,,,,,,,,,,
-573570000,BU,LAND,62,1974-01-01,BU,LAND,22,1974-01-01,3,ME,TRAIL,19,01/08/1988,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,19,1989-05-01,PLI,27000,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11421,ME,NA,12,1992-04-01,ME,NA,3.3,1992-09-01,8,ME,MOUND,2.7,01/05/1998,ME,NA,11.3,01/08/1990,ME,NA,10.9,01/10/1990,ME,NA,4,01/02/1991,ME,NA,01/10/1991,69.3,ME,NA,01/11/1991,62.1,PL,93.9,1993-06-01,PLI,115337,SX,300,,,,,,,,,,,,,FP,2.7,1999-05-01,PLI,3150,NA,NA,,,,,,,,,,,,,,,3,PL,PL,61.2,01/05/1992,PLI,18400,SW,56920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11422,ME,NA,74.1,1992-09-01,ME,NA,17,1992-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,93.7,1993-06-01,PLI,109490,SX,4365,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,ME,DISC,3.8,1993-06-01,ME,NA,59.5,1992-09-01,5,ME,NA,18.6,01/10/1992,ME,DITCH,0.4,01/05/1998,ME,MOUND,0.4,01/05/1998,,,,,,,,,,,,,FP,3.8,1995-05-01,PLI,4493,SX,930,,,,,,,,,,,,,FP,0.4,1996-05-01,PLI,460,NA,NA,,,,,,,,,,,,,,,4,PL,FP,0.4,30/05/1999,PLI,450,NA,NA,,,,,,,,,,,PL,PL,82,01/06/1993,PLI,85120,SX,15515,,,,,,,,,,,,,,,,,,
11595,ME,DISC,1.6,1996-08-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,1.6,1997-05-01,PLI,1920,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43509,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,11,1997-05-21,PLI,31880,PLI,24140,,,,,,,,,,,,,PL,2.8,1998-06-25,PLI,2880,NA,NA,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43624,ME,MOUND,4.8,1999-10-22,ME,DISC,31.9,1999-10-22,3,ME,DISC,17.8,22/10/1990,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,4.8,2000-06-10,SX,6585,NA,NA,,,,,,,,,,,,,PL,1.8,2000-06-10,PLI,3960,NA,NA,,,,,,,,,,,,,,,3,PL,PL,48.7,10/06/2000,PLI,31260,PLI,56400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43648,ME,DISC,21.2,1997-10-01,ME,MOUND,6.3,1997-09-27,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,2.8,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,PL,3.5,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,,,4,PL,PL,21.2,23/06/1999,NA,NA,NA,NA,,,,,,,,,,,PL,PL,7,23/06/1999,,,,,,,,,,,,,,,,,,,,,,
43776,ME,DISC,17.4,1997-10-01,ME,MOUND,3.2,1997-10-29,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,17.4,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,PL,3.7,1998-06-18,NA,NA,NA,NA,,,,,,,,,,,,,,,4,PL,PL,3.2,18/06/1998,NA,NA,NA,NA,,,,,,,,,,,PL,PL,17.7,23/06/1999,,,,,,,,,,,,,,,,,,,,,,
43777,ME,DISC,47.3,1998-11-25,ME,PILE,16.3,1998-10-09,3,ME,MOUND,6,09/10/1998,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,47.3,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,PL,7.7,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,,,4,PL,PL,6,23/06/1999,NA,NA,NA,NA,,,,,,,,,,,PL,PL,61,23/06/1999,SX,16350,SX,34310,PLI,52439,,,,,,,,,,,,,,,,
43916,ME,MOUND,0.4,1996-08-01,ME,DISC,40,1996-08-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,40.6,1997-05-01,PLI,56840,SX,56840,,,,,,,,,,,,,FP,0.1,1998-05-01,PLI,140,SX,75,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49701,ME,DISC,18.2,1996-08-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,19.5,1997-05-01,PLI,21600,PLI,2160,SX,2160,,,,,,,,,,,PL,0.5,1998-05-01,SX,240,SX,690,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53217,ME,MOUND,1.3,1996-09-01,ME,DISC,35.6,1996-09-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,36.3,1997-05-01,PLI,64868,NA,NA,,,,,,,,,,,,,PL,1.3,1997-05-01,SX,960,PLI,920,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53219,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,11.1,1997-05-01,PLI,18520,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56793,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69907,ME,MOUND,1,1998-10-09,ME,DISC,5.3,1998-09-11,3,ME,PILE,0.5,09/10/1998,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,1,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,PL,5,1999-06-23,NA,NA,NA,NA,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70769,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,1.2,1995-05-01,PLI,1750,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98551,ME,DISC,8.9,2001-10-07,ME,PILE,1.5,2001-10-07,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,8.1,2002-07-03,PLI,7035,SX,1080,SX,540,PLI,5460,,,,,,,,,PL,0.5,2002-07-03,PLI,120,SX,880,,,,,,,,,,,,,,,3,PL,PL,0.8,07/07/2003,SX,1620,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98569,ME,DISC,6.8,2001-10-07,ME,PILE,0.7,2001-10-07,3,ME,MOUND,0.3,07/10/2001,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,6.8,2003-07-07,PLI,5850,SX,7290,SX,90,,,,,,,,,,,PL,1.1,2003-07-07,SX,1765,NA,NA,,,,,,,,,,,,,,,4,PL,PL,0.3,07/07/2003,SX,540,NA,NA,,,,,,,,,,,PL,PL,2.6,07/07/2003,SX,3095,SX,1080,,,,,,,,,,,,,,,,,,
98699,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105339,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,15.4,2002-05-01,PLI,26780,SX,8640,,,,,,,,,,,,,FP,0.6,2003-05-01,PLI,500,NA,NA,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107593,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,2.6,2003-07-07,PLI,5040,NA,NA,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115361,MA,HAND,34,2003-06-01,BU,RPILE,34,2003-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,34,2005-05-20,PLI,24400,SX,28360,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115363,MA,HAND,8,2003-06-01,BU,RPILE,8,2003-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,8,2005-05-23,PLI,5950,SX,6700,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116168,ME,MOUND,12.3,2003-10-01,BU,RPILE,13.3,2003-10-01,3,MA,HAND,1.3,01/06/2003,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,13.6,2005-05-23,PLI,16175,SX,550,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116169,BU,RPILE,4.6,2003-10-01,MA,HAND,4.6,2003-01-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,4.6,2005-05-24,PLI,4000,SX,1600,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116170,BU,RPILE,8.6,2003-10-01,MA,HAND,8.6,2003-08-31,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,8.6,2005-05-24,PLI,10375,SX,6280,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116272,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,10.1,2004-06-15,PLI,8090,SX,4220,SX,4735,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116335,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,8.3,2004-06-15,PLI,130,SX,1795,SX,5590,PLI,6120,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116641,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,10.6,2005-05-25,PLI,9125,SX,8200,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116650,BU,RPILE,4.1,2003-10-01,MA,HAND,4.1,2003-06-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,4.1,2005-05-21,PLI,2940,SX,3900,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116652,BU,RPILE,5.3,2003-10-01,MA,HAND,5.3,2003-06-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,5.3,2005-05-25,PLI,3500,SX,4800,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116691,BU,RPILE,1.4,2003-10-01,MA,HAND,1.4,2003-01-01,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,PL,1.4,2005-05-26,PLI,825,SX,940,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
