OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
108518,ME,DISC,13.5,2006-10-14,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,14.9,2007-05-24,PLI,17237,PLI,1720,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
117303,ME,DISC,47.3,2006-10-14,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,46.4,2007-05-18,PLI,71085,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1504590,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,51.4,2014-05-10,SX,6210,PLI,55680,,,,,,,,,PL,37.9,21-06-2020,PLI,39060,SX,5280,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1565335,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,442.7,2015-06-16,SX,70640,PLI,543120,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1596462,ME,SHARK,12.3,2013-09-27,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646390,ME,SHARK,6.8,2015-08-26,ME,SHARK,82.3,2014-08-25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646404,ME,SHARK,3.1,2014-08-26,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646405,ME,SHARK,23.3,2015-08-26,ME,SHARK,259.5,2014-10-10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646406,ME,SHARK,124.3,2014-09-10,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646407,ME,SHARK,17.4,2014-08-26,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646429,ME,SHARK,7.7,2015-08-18,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646430,ME,SHARK,83.4,2014-11-11,ME,SHARK,1.1,2015-08-26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646431,ME,SHARK,7.2,2015-08-21,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646432,ME,SHARK,23.2,2015-08-24,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1664934,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666549,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,4.4,2017-06-02,PLI,3520,SX,2940,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1666618,ME,SHARK,35,2016-08-20,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666619,ME,SHARK,73.4,2016-08-20,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666939,ME,SHARK,27.3,2016-09-16,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666942,ME,SHARK,19.3,2016-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666945,ME,SHARK,58.8,2016-09-16,ME,SHARK,40,2016-10-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
