"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
105246,"ME",NA,10.8,2002-10-16,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",12,2008-06-11,NA,NA,NA,NA,"PL",0.9,2004-07-01,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
105248,"ME",NA,5,2002-10-16,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",5,2008-06-12,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
121798,"MA",NA,6.6,2002-07-17,"MA",NA,3.4,2002-07-17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",6.6,2007-06-21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
121819,"MA",NA,1.3,2002-07-17,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",1.3,2006-06-18,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
121823,"MA",NA,1.5,2002-07-17,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FP",1.3,2006-06-18,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1714639,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
