OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2
-17540000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17500000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17490000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17470000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17430000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17400000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17170000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17100000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17090000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,4,1990-04-01,PLI,4000,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17050000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,21,1987-05-01,PLI,21000,FDI,0,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-17040000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-16920000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-16700000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15300000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15280000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15270000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15260000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15250000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15240000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-15210000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-1.50E+07,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,40,1964-01-01,SX,47000,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-1610000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
-1380000,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
406,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
8840,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
8845,GS,ROADS,0.2,1992-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
8846,GS,ROADS,3.6,1992-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
9416,ME,DISC,6.1,1998-04-01,ME,,2.2,1991-11-01,3,ME,,6.9,01-11-1991,NA,NA,NA,NA,FP,15.9,1998-05-01,PLI,18915,NA,NA,,,PL,3,1992-05-01,PLI,5110,NA,NA,,,4,PL,PL,8.6,01-07-1992,FDI,7960,NA,NA,PL,RP,3,01-07-2001,PLI,1620,,
73840,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
78345,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,35.5,2004-05-01,PLI,15380,PLI,14880,SX,14025,PL,8,2008-05-04,PLI,945,SX,690,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
78348,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,54,2002-05-01,PLI,46140,FDI,21070,,,RP,8.5,2004-05-01,PLI,4445,NA,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
78352,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,5.4,2000-05-31,PLI,5970,FDI,1170,,,PL,6.9,2001-08-31,PLI,6500,NA,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
86525,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,4,2002-07-01,PLI,5200,NA,NA,,,PL,3.5,2001-05-01,PLI,4000,NA,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
86859,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,1.2,2000-05-01,FDI,870,PLI,770,,,RP,1.2,2004-05-01,PLI,720,SX,165,,,3,PL,PL,2.7,01-05-2004,PLI,1000,SX,260,,,,,,,,
