"OPENING_ID","SITE_PREP_","SITEPr_1_Meth","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITEPr_2_Meth","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","SITEPr_3_Type","SITEPr_3_Meth","SITEPr_3_Area","SITEPr_3_Date","SITEPr_4","SITEPr_4_Type","SITEPr_4_Meth","SITEPr_4_Area","SITEPr_4_Date","PLANTING_1","PLANTING_2","PLANTING_3","PLANT_1_SP1","PLANT_1_NUM2","PLANT_1_SP2","PLANT_1_NUM2","PLANTING_4","PLANTING_5","PLANTING_6","PLANT_2_SP1","PLANT_2_NUM1","PLANT_2_SP2","PLANT_2_NUM2","PLANTING_C","PLANT_3_Type","PLANT_3_Meth","PLANT_3_Area","PLANT_3_Date","PLANT_3_SP1","PLANT_3_NUM1","PLANT_3_SP2","PLANT_3_NUM2"
-626260000,"ME",NA,124,1982-10-01,"BU",NA,124,1984-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",124,1985-06-01,NA,NA,NA,NA,"PL",30,1994-06-11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-626260000,"ME",NA,124,1982-10-01,"BU",NA,124,1984-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",124,1985-06-01,NA,NA,NA,NA,"PL",30,1994-06-11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-626260000,"ME",NA,124,1982-10-01,"BU",NA,124,1984-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",124,1985-06-01,NA,NA,NA,NA,"PL",30,1994-06-11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-626260000,"ME",NA,124,1982-10-01,"BU",NA,124,1984-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",124,1985-06-01,NA,NA,NA,NA,"PL",30,1994-06-11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-624610000,"ME",NA,80,1990-10-01,"ME",NA,88,1984-09-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",81.2,1991-06-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
-622830000,"BU",NA,9,1979-10-01,"BU",NA,43,1981-05-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",21.6,1993-07-15,NA,NA,NA,NA,"FP",10.3,1999-06-04,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-622580000,"BU",NA,166,1979-10-01,"ME",NA,32,1988-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",32.2,1989-06-24,NA,NA,NA,NA,"PL",111,1980-05-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-622580000,"BU",NA,166,1979-10-01,"ME",NA,32,1988-09-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",32.2,1989-06-24,NA,NA,NA,NA,"PL",111,1980-05-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-619730000,"ME",NA,5.9,1991-09-01,"BU",NA,133.5,1980-09-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",5.9,1992-06-01,NA,NA,NA,NA,"FP",4.7,1996-05-21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-470450000,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7183,"ME",NA,2.7,1992-10-01,"BU",NA,54.7,1992-10-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",21.9,1994-05-15,NA,NA,NA,NA,"PL",40.9,1993-06-15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
7187,"ME",NA,3,1993-10-01,"ME",NA,31.6,1993-09-01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",73.7,1994-05-01,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
7188,"ME",NA,0.4,2001-07-01,"ME",NA,1,1992-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",1,1993-06-01,NA,NA,NA,NA,"FP",1.1,2001-07-15,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
7189,"ME",NA,3.7,2001-07-01,"ME",NA,56.5,1992-10-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",16.9,1993-06-06,NA,NA,NA,NA,"FP",27.5,2001-07-07,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
