OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2
108518,ME,DISC,13.5,14/10/2006,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,14.9,24/05/2007,PLI,17237,PLI,1720,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
117303,ME,DISC,47.3,14/10/2006,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,46.4,18/05/2007,PLI,71085,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1504590,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,51.4,10/05/2014,SX,6210,PLI,55680,,,,,,,,,PL,37.9,21/06/2020,PLI,39060,SX,5280,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1565335,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,442.7,16/06/2015,SX,70640,PLI,543120,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1596462,ME,SHARK,12.3,27/09/2013,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646390,ME,SHARK,6.8,26/08/2015,ME,SHARK,82.3,25/08/2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646404,ME,SHARK,3.1,26/08/2014,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646405,ME,SHARK,23.3,26/08/2015,ME,SHARK,259.5,10/10/2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646406,ME,SHARK,124.3,10/09/2014,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646407,ME,SHARK,17.4,26/08/2014,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646429,ME,SHARK,7.7,18/08/2015,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646430,ME,SHARK,83.4,11/11/2014,ME,SHARK,1.1,26/08/2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646431,ME,SHARK,7.2,21/08/2015,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1646432,ME,SHARK,23.2,24/08/2015,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1664934,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666549,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,4.4,02/06/2017,PLI,3520,SX,2940,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1666618,ME,SHARK,35,20/08/2016,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666619,ME,SHARK,73.4,20/08/2016,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666939,ME,SHARK,27.3,16/09/2016,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666942,ME,SHARK,19.3,01/10/2016,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666945,ME,SHARK,58.8,16/09/2016,ME,SHARK,40,01/10/2016,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1666947,ME,SHARK,8.3,01/09/2016,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA
1670293,ME,EXCAV,5.5,31/07/2017,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,5.5,27/05/2018,PLI,6930,SX,2940,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1678544,ME,SHARK,30.6,16/10/2016,ME,MOUND,0.8,22/10/2016,2,NA,NA,NA,NA,NA,NA,NA,NA,RO,0.4,29/05/2017,PLI,1160,NA,NA,,,,,,,,,PL,5.2,29/05/2017,PLI,3120,SX,3120,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678549,ME,MOUND,8.5,10/11/2016,ME,SHARK,30,01/10/2016,2,NA,NA,NA,NA,NA,NA,NA,NA,PL,10,31/05/2017,PLI,10470,SX,4080,,,,,,,,,RO,1,31/05/2017,PLI,1200,NA,NA,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678558,ME,MOUND,2.8,07/11/2016,ME,SHARK,13.1,01/10/2016,2,NA,NA,NA,NA,NA,NA,NA,NA,RO,2.1,26/05/2017,PLI,3755,NA,NA,,,,,,,,,PL,2.8,26/05/2017,PLI,1095,SX,1095,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678559,ME,MOUND,2.2,03/11/2016,ME,SHARK,203.3,16/10/2016,2,NA,NA,NA,NA,NA,NA,NA,NA,RO,14.7,02/06/2017,PLI,23965,NA,NA,,,,,,,,,PL,6.1,02/06/2017,PLI,2565,SX,2565,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA
1678706,ME,SHARK,68.3,01/10/2016,ME,MOUND,21.6,25/11/2016,2,NA,NA,NA,NA,NA,NA,NA,NA,PL,23.4,01/06/2017,PLI,2470,PLI,19200,SX,9600,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1683752,ME,EXCAV,35.9,31/07/2018,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,PL,48.5,29/05/2019,PLI,13815,SX,6545,SX,1890,PLI,40320,SX,23310,PLI,3960,PL,14.1,23/07/2018,SX,3400,SX,5800,PLI,7950,PLI,8640,2,NA,NA,NA,NA,NA,NA,NA,NA
1684064,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,55,01/06/2018,PLI,84840,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684065,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,62,31/05/2018,PLI,89880,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684135,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,21.8,31/05/2018,PLI,33600,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684136,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,28,31/05/2018,PLI,43260,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
1684137,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,133.1,20/06/2019,PLI,193440,NA,NA,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
