OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANT_1_SP7,PLANT_1_NUM7,PLANT_1_SP8,PLANT_1_NUM8,PLANT_1_SP9,PLANT_1_NUM9,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_3_SP4,PLANT_3_NUM4,PLANT_3_SP5,PLANT_3_NUM5,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_4_SP3,PLANT_4_NUM3,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2,PLANT_7_Type,PLANT_7_Meth,PLANT_7_Area,PLANT_7_Date,PLANT_7_SP1,PLANT_7_NUM1,PLANT_7_SP2,PLANT_7_NUM2
48754,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,0.9,1997-06-01,PLI,1220,NA,NA,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48755,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,1.8,1997-06-01,PLI,2200,NA,NA,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48757,ME,MOUND,1.3,1996-10-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,3.9,1997-06-01,PLI,4800,NA,NA,,,,,,,,,,,,,,,FP,1.1,2000-05-01,PLI,720,NA,NA,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48759,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,3.5,1998-06-01,SX,1223,NA,NA,,,,,,,,,,,,,,,PL,3.6,1997-06-01,SX,1240,NA,NA,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48762,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,1,1997-06-01,SX,1851,NA,NA,,,,,,,,,,,,,,,PL,3.1,1997-06-01,PLI,3780,NA,NA,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79113,ME,MOUND,5,1999-09-01,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,5,2000-06-01,PLI,125,SX,7750,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90372,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99695,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,7.2,2004-06-01,SX,7745,NA,NA,,,,,,,,,,,,,,,PL,24.2,2005-06-30,PLI,34520,NA,NA,,,,,,,3,PL,FP,1,18-05-2006,PLI,2800,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038678,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,3.3,2005-06-30,PLI,5890,PLI,720,,,,,,,,,,,,,,,FP,1,2006-05-13,NA,PLI,400,NA,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125090,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FP,7.9,2008-06-30,SX,3160,PLI,4680,,,,,,,,,,,,,,,PL,37.9,2007-06-10,SX,15155,PLI,24986,SX,5400,SX,5890,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373062,ME,DISC,23.7,2006-11-10,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FP,1,2006-05-17,PLI,2750,SX,2450,,,,,,,,,,,,,,,PL,28.6,2007-06-10,SX,1805,SX,29832,PLI,4190,SX,2000,,,7,PL,PL,8.9,09-07-2006,SX,13550,NA,NA,,,,,,,PL,PL,3.2,30-06-2005,PLI,6280,,,,,PL,PL,14.2,30-06-2005,PLI,20900,,,PL,PL,1.7,30-06-2005,PLI,2860,,,PL,FP,3,30-06-2008,PLI,2715,,
1387251,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FP,15,2013-05-22,PLI,15270,SX,5325,,,,,,,,,,,,,,,PL,15,2011-07-27,SX,10992,PLI,10270,,,,,,,4,PL,PL,37,11-06-2011,PLI,15651,SX,14455,PLI,4336,SX,1645,SX,13757,PL,PL,105.1,20-05-2012,SX,33735,PLI,75660,SX,12665,PL,PL,153.6,23-04-2020,,,,,,,,,,,,,,,,,,,,
1464296,ME,DISC,32,2013-10-25,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,32,2014-05-20,SX,2010,SX,41195,,,,,,,,,,,,,,,PL,32,04-06-2020,SX,26310,PLI,28445,,,,,,,1,PL,PL,32,23-04-2020,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464302,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,26,2015-06-14,SX,1005,SX,19395,FDI,3540,PLI,2790,SX,2940,,,,,,,,,FP,2.6,2016-05-21,SX,5335,NA,NA,,,,,,,2,PL,PL,26,21-06-2020,SX,22355,FDI,1665,PLI,9845,SX,500,SX,3065,PL,PL,26,23-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464331,ME,DISC,17.5,2013-10-25,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,17.5,2014-05-18,SX,24675,NA,NA,,,,,,,,,,,,,,,PL,17.5,14-06-2020,SX,15360,PLI,15325,,,,,,,1,PL,PL,17.5,23-04-2020,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464490,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,21.8,2013-06-09,NA,NA,NA,NA,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464510,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,FP,4,2013-06-13,SX,7520,NA,NA,,,,,,,,,,,,,,,PL,29.7,2012-07-30,SX,2175,PLI,15280,SX,2055,SX,25530,,,2,PL,PL,29.8,17-05-2020,PLI,10790,SX,10060,SX,2670,SX,21995,,,PL,PL,29.8,23-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610396,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,88.8,2015-06-16,SX,830,PLI,870,PLI,22200,SX,45615,SX,6340,PLI,37900,SX,16900,,,,,PL,88.8,23-04-2020,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610798,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,198,2014-06-13,SX,2715,PLI,720,PLI,169120,SX,104980,SX,2955,,,,,,,,,PL,194.1,23-04-2020,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651336,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,4.6,2015-06-07,SX,2430,SX,420,PLI,4025,,,,,,,,,,,,,PL,4.6,11-06-2020,PLI,4625,SX,2130,FDI,880,,,,,1,PL,PL,4.6,23-04-2020,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651337,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,57,2015-06-11,SX,24545,SX,3595,PLI,3025,PLI,40660,SX,2300,,,,,,,,,PL,57,12-06-2020,PLI,51925,SX,29595,SX,3405,,,,,1,PL,PL,57,23-04-2020,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651338,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,50.9,2015-06-07,SX,6055,PLI,24250,PLI,23370,SX,12840,SX,3950,,,,,,,,,PL,50.9,13-06-2020,PLI,25505,SX,2880,SX,3960,PLI,35445,SX,12240,1,PL,PL,50.9,23-04-2020,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651341,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,5.6,2015-06-07,PLI,3480,SX,2245,PLI,1700,,,,,,,,,,,,,PL,5.6,23-04-2020,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651342,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,4.2,2015-06-07,PLI,3525,SX,2315,,,,,,,,,,,,,,,PL,4.2,23-04-2020,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651343,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,6.5,2015-06-16,SX,500,SX,2160,SX,100,PLI,450,PLI,4175,,,,,,,,,PL,5.7,23-04-2020,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651344,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,PL,10.2,2015-06-11,SX,13665,NA,NA,,,,,,,,,,,,,,,PL,10.2,23-04-2020,NA,NA,NA,NA,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
