"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-50_50","SurM-Con","SurNA-NF","SurCrClos","SurBA","SurM-PineMix","Sur-High","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","SurIM-75Con","SurM-75Con","SurY-Con","SurM-75Pine","SurM-Pine","Sur-AgeCl-1","Sur-AgeCl-2","Sur-AgeCl-3","SurM-Dec","SurIM-50_50","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
12883,25,0,0,0,0,1,0,100,28,11.25,88.75,0,24.25,83.75,16.175,12.461835,0.030040436424315,0,1,1,0,0,1,1,"CC",0.411560520949654,NA,0.588439479050346,NA,25,25,0.341498003513234,NA,NA,NA,1,0.0577767789363861,NA,NA,NA,NA,0.200385778029407,NA,NA,NA,NA,NA,22886.5226605134,230,0.189097243361175,2.19473654031754,260.828364054362,0.579416645069917
30490,25,0,0,0.166380477137835,0.0130857410243923,0.820533781837772,13.3181818181818,86.6818181818182,15.9545454545455,13.2272727272727,73.4545454545455,0,29.5,54.8181818181818,9.84545454545455,8.23471695454545,-0.0128780612722039,0,1,1,0,0,1,4,"CC",0.555644017480324,0.131927828140671,0.0836059278098271,NA,33.5151515151515,33.5151515151515,0.146366301170477,0.00560688854196085,0.305521014551094,0.0549281930938969,0.633943903813049,0.0132860573939979,0.00249290996437192,NA,0.225204135847795,0.0203444072429876,NA,0.0366165249145141,NA,0.4148398749078,0.00112518075701143,NA,1652050.00314478,219,0.135777872793214,4.12032412344169,237.293391771862,0.649977685450208
30491,24,0,0,0.108413557971193,0.0129951397186121,0.878591302310195,2,93,17.5,6,87,0,23.65,82.85,11.43,8.98867085,-0.0179746467620134,0,1,1,0,0,1,2,"CC",0.146957945147539,NA,0.674215702338678,0.0269652247052713,26.7916666666667,26.7916666666667,0.288676683536079,0.0145812685919634,0.28860422910048,0.485252475903066,0.211562026404491,0.257628738880157,NA,NA,0.151861127808511,NA,0.0492054769392719,0.0496484639875552,NA,0.136567955256395,NA,NA,723714.87856878,231,0.156553447350613,4.63950924802077,233.822341214107,0.590707635165154
30492,24,0,0,0.1137197695291,0.0327275573954455,0.853552673075455,3.84615384615385,96.1538461538462,16.1538461538462,25.6153846153846,70.5384615384615,0,28.1923076923077,83.9615384615385,13.3115384615385,13.7980990769231,-0.0116851003840566,0,0,1,0,0,1,2,"CC",0.237439448613192,NA,0.637997630837243,NA,32.8620689655172,32.8620689655172,0.177444894830275,0.00657453497529611,0.254869157142803,0.487410874723473,0.251145433158427,0.15171205997467,NA,NA,0.124506351998794,NA,NA,0,NA,0.351942783712578,NA,5.65685507700886e-05,1252579.14491586,231,0.194867329733665,3.63109307869956,245.406829548363,0.586059265552106
30509,23,0,0,0,1,0,45,5,2.5,0,2.5,0,27.5,66.5,12.5,18.4521505,0.918224781751633,0,1,0,0,0,1,1,"CC",NA,0.506176658133246,0.00795397872314431,0.477220456331189,31.7142857142857,31.7142857142857,0.522779543668811,NA,0.122337926020657,0.877662073979343,NA,0.815518379211426,NA,0.00864890681242029,NA,NA,NA,NA,0.471207147208857,NA,NA,NA,11002.4369035,235,0.345721521725257,4.14745998382568,235.795013427734,0.792857800920804
48739,21,0,0.00125662208713878,0.391279951798783,0.111951434887084,0.495511991226994,4.66666666666667,95.3333333333333,11.3333333333333,12.6666666666667,82.6666666666667,0,23.6,48.9333333333333,8.14,6.68554926666667,0.0209194757044315,0,1,1,0,0,1,1,"CC",0.589688977723981,NA,0.295303304853979,NA,24.5925925925926,24.5925925925926,0.136650582016271,0.0133837033828477,0.191399586763257,0.143896382383772,0.651320327470123,0.0153956040740013,NA,NA,0.0796377605343972,NA,NA,0.00415419989928045,NA,0.524412205810948,NA,0.0353699568876425,422825.177935682,231,0.135239587896742,3.83732988128168,244.878319764749,0.630696256828104
48746,21,0,0,0.290574468378434,0.107476570350692,0.601948961270874,5.45454545454545,94.5454545454545,22.1818181818182,26.4545454545455,68.0909090909091,0,32.5454545454545,86.5454545454545,12.8636363636364,12.3193972727273,0.0108262202702463,0,0,0,0,0,1,1,"CC",0.632921427269484,0.00883428288240304,0.353656047207191,NA,32.6111111111111,32.6111111111111,0.00750134415977185,0.0132432083608579,0.0391184780098658,0.214936263235775,0.732702050393501,0.00499012251384556,NA,NA,0.00458824264092145,0.0774639539000328,NA,NA,NA,0.349606596685837,NA,NA,182252.925545393,231,0.117984782775292,4.71406747052206,250.213145945332,0.620564534374983
48754,21,0,0,0.633892730498639,0.00782877685294777,0.358278492648413,7.5,92.5,60,5,87.5,0,47.5,72.25,16.425,21.024195,0.288019627332687,0,0,0,0,0,1,1,"CC",0.804642643154124,NA,0.185632878962276,NA,41.6666666666667,41.6666666666667,NA,NA,0.359652202066331,0.177993225414744,0.462354572518925,0.0664922595024109,NA,NA,0.00972447788360033,0.0857500289607194,0.0998828500015566,0.185951641522887,NA,0.538668331158228,NA,NA,16293.1673045121,219,0.127879750571753,4.31736007489656,216.771217747738,0.663804405613949
48755,21,0,0,0.96554019416482,0,0.03445980583518,5,95,57.5,2.5,92.5,0,23.75,21,5.475,1.1282675,0.00373081769794226,0,0,0,0,0,1,1,"CC",0.923384351531543,NA,NA,NA,25.8333333333333,25.8333333333333,NA,NA,0.600271072252039,NA,0.399728927747961,0.0153065463528037,NA,NA,0.0766156484684573,NA,NA,NA,NA,0.585804943176912,NA,NA,28822.9521969333,220,0.154060985088687,4.87265185153846,226.807110410748,0.661590030699065
48757,21,0,0,0.730161549017075,0.205947043727599,0.0638914072553261,6,94,32,6,88,0,33,117.2,17.32,16.7292196,0.00876534031704068,0,0,1,0,0,1,1,"CC",0.216068619436221,NA,0.341235086115462,NA,23.4166666666667,23.4166666666667,0.34112992252813,NA,0.364491782922277,0.297964725415818,0.337543491661905,0.235700726509094,NA,NA,0.442696294448317,NA,NA,0.34768317700023,NA,0.366168943235607,NA,NA,48587.887430971,219.5,0.0768616515280748,4.0423594907754,227.189058657046,0.615914720076102
