"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","HarVRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurCrClos","SurBA","Sur-High","Sur-Medium","sur_dNBR","Sur-AgeCl-2","SurM-50_50","Sur-Low","Sur-Unburned","Sur-AgeCl-4","SurIM-50_50","SurM-75Con","SurM-PineMix","Sur-AgeCl-1","SurM-75Pine","SurM-Pine","Sur-AgeCl-3","SurNA-NF","SurIM-75Con","SurY-Con","Sur-AgeCl-5","SurIM-Dec","SurY-50_50","SurY-75Con","SurM-Dec","SurY-Dec","TotArea","1919","1920","1921","1922","1923","1925","1926","1931","1934","1936","1938","1939","1943","1944","1946","1947","1951","1953","1957","1958","1959","1974","2009","2010","2012","2013","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
-675260000,16,0,0.116085466796417,0.163684412352307,0.720230120851276,NA,0,100,0,0,0,100,40,61,18.1,18.41502,1,0.265427321195602,1,0,1,0,1,1,1,"CC",0.280837605538277,0.719162394461723,24.2857142857143,24.2857142857143,0.186404831007703,0.809917051327587,0.292061150074005,0.0264095920022416,NA,0.00367811766471057,NA,NA,NA,NA,0.424152143626982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147992.066964037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.268900782829779,4.48235924551092,292.152978440735,0.74343433994457
-675250000,34,0,0.300999484473638,0.322317478057226,0.157398818445747,0.219284219023389,0,100,1.04166666666667,0,3.54166666666667,96.4583333333333,36.0416666666667,139.333333333333,21.4291666666667,21.3115546666667,0,0.115254804491997,0,0,1,0,0,0,1,"PC",0.386970775422077,0.613029224577923,34.8214285714286,34.8214285714286,0.434071311955696,0.24303347311313,0.21026922762394,NA,NA,0.285194240778594,0.0377009741525806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012502037146446,NA,NA,NA,NA,NA,748796.155225603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,0.210289509852656,3.80631534400618,267.348941366882,0.55632308742343
-675240000,41,0,0.0780959420672491,0.326425351637166,0.568373511861568,0.0271051944340166,4.9,95.1,5,0,12.2818181818182,82.8181818181818,31.7272727272727,130,21.0727272727273,16.0984662727273,0,0.0963435471057892,0,0,0,0,0,0,1,"CC",0.418256719189428,0.534936588204495,32.125,32.125,0.102126431445886,0.347661105196009,0.0909238196909428,0.0658073465972322,0.000237838671129166,0.405177346878198,0.145035116479907,0.0140531340901174,NA,NA,0.000237838671129166,NA,NA,NA,NA,NA,0.0465688539349475,NA,NA,NA,NA,NA,NA,NA,543161.03385343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,0.149863149107744,2.36359504500404,280.894325358073,0.520458881606658
-675110000,30,0,NA,0.260938761980619,NA,0.739061238019382,0,100,5,0,10,90,30,155,24.4,15.56694,1,0.0687739327549934,0,0,0,0,0,0,1,"PC",0.429700934508415,0.372965327290258,16,16,NA,NA,0.121379554271698,0.197357223151386,NA,0.275800309321528,0.724199690678472,NA,NA,NA,0.0654450526095887,0.322009286063522,NA,NA,0.441758236576304,NA,NA,0.197333738201327,NA,NA,NA,NA,NA,NA,157679.867675103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.184095972615202,1.48568492535262,326.591101573922,0.492391012565434
-675100000,27,0,NA,0.439494535129794,0.560505464870206,NA,0,100,0,0,0,100,15,185,26.3,10.2606,1,0.147221967577934,1,0,0,0,0,0,1,"PC",0.00537478831199077,0.994625211688009,28.3333333333333,28.3333333333333,NA,0.992993604778556,0.171635776758194,NA,NA,0.00695637332304137,5.00218984027451e-05,NA,NA,NA,0.965016108779913,NA,NA,NA,0.00537389291773722,NA,NA,NA,NA,NA,NA,NA,NA,NA,87615.9863030147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.193462461552987,4.08813172909949,309.999843404751,0.671590802043375
-675090000,35,0,0.0265362501359602,0.647700248437406,0.272453548699795,0.0533099527268388,0.952380952380952,99.0476190476191,20.2380952380952,0,26.4285714285714,72.6190476190476,26.6666666666667,133.333333333333,22.5857142857143,14.3515880952381,0,0.0885657072067261,1,0,1,0,0,1,1,"PC",0.00465525790703572,0.995344742092964,26.8181818181818,26.8181818181818,0.0281999340021365,0.532136818423331,0.184261828660965,NA,NA,0.331736077095601,0.107927170478931,NA,NA,NA,0.853660171863285,0.293535629842517,NA,0.0498636522918299,0.00387536620339463,NA,NA,NA,NA,NA,NA,NA,NA,NA,1326241.90967434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.191845730824621,3.17135192974197,307.779524995461,0.519695119220593
-675080000,35,0,0.0351878576328446,0.375457159402823,0.526269396916391,0.0630855860479408,15,85,20.8333333333333,0,27.5,57.5,29.1666666666667,95.6666666666667,15.8333333333333,13.7974266666667,1,0.144766144454479,1,0,0,0,0,1,1,"PC",0.207825420188707,0.657559684027337,32.5909090909091,32.5909090909091,0.106646717856446,0.733611371368859,0.204191401600838,0.172003019157507,NA,0.110399429579945,0.0493424811947502,NA,0.000609356806219772,NA,0.601529831282483,0.00543728784082003,NA,NA,NA,NA,NA,0.134005538977737,NA,NA,NA,NA,NA,NA,1240609.63288067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.219096787409392,4.77728767855112,299.764343483182,0.650571921199603
-675070000,37,0,0.0816323241040435,0.534380122029098,0.251272882757318,0.13271467110954,0,100,6.66666666666667,0,6.66666666666667,93.3333333333333,28.3333333333333,118.333333333333,19.9,11.1870966666667,1,0.104742415249348,0,0,1,0,0,0,1,"PC",0.128770919241729,0.796006848774719,26.9444444444444,26.9444444444444,0.210563538974922,0.310418024854715,0.163679987192154,0.254260407174664,NA,0.275772427735971,0.203246008434392,NA,NA,NA,0.100931522774127,0.091425099122285,NA,NA,0.112975500308803,NA,NA,0.0752222319835522,NA,NA,NA,NA,NA,NA,854412.445917493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.153117989828796,2.50816059431691,322.623025265082,0.54790116939203
-675060000,31,0,0.185577583145568,0.314708901376536,0.460446967022832,0.0392665484550644,1,99,0,0,0,99,24,165,25.32,14.4958094,1,0.212248019874096,0,0,0,0,0,0,1,"PC",0.0888847122870582,0.911115287712942,28.5714285714286,28.5714285714286,0.223068200707188,0.285763684433814,0.194213896989822,0.471883272003188,NA,0.42053278240841,0.0706353324505878,NA,NA,NA,0.135860182884949,NA,NA,NA,NA,NA,NA,NA,0.0787597707448393,NA,NA,NA,NA,NA,998510.35233577,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0390289900558065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0.159930531194786,4.05767284032694,315.555646796699,0.584703344402013
-674750000,24,0,NA,0.161444800599234,0.0254936210621896,0.813061578338576,0.333333333333333,99.6666666666667,44.34,3.66666666666667,79,17,27,118,19.58,11.4615811333333,0,0.0729863569140434,1,0,1,1,0,1,1,"CC",0.169144289670803,0.830855710329197,26.5882352941176,26.5882352941176,NA,0.084996469458702,0.164659455418587,NA,NA,0.73539226979761,0.179611260743688,NA,NA,NA,0.535015799198971,NA,0.200295918901988,0.0915601006210073,0.0277427323948131,NA,NA,NA,NA,NA,NA,NA,NA,NA,506021.651012536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,0.12092904371129,2.81204688964277,381.942326621404,0.593172591304443
