"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-75Con","SurIM-Con","SurM-50_50","SurM-Con","SurY-Con","SurCrClos","SurBA","SurM-75Pine","SurM-PineMix","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","SurNA-NF","SurM-Pine","SurM-75Con","Sur-High","Sur-AgeCl-2","SurIM-50_50","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
1067874,11,0,0,0.716635176552354,0.0562514267777217,0.227113396669925,1.75,98.25,65.75,0,66.875,0,10.125,68.4375,13.20625,5.1686600625,0.435537397861481,0,1,0,0,0,1,1,"CC",0.119920818733436,0.393636035315008,0.00378950147082123,0.482380113608319,0.000273530872415763,10.2,10.2,0.197645379621557,0.288524235457583,0.437775825254374,0.199808478138817,0.362415696606808,0.423927515745163,0.076252670424405,NA,NA,NA,NA,NA,NA,319269.353125011,226,0.0947394260448053,2.00080817026052,248.36704122311,0.57343360469294
1241354,8,0,0,0.38495276917038,0.08212846122685,0.53291876960277,1.42857142857143,98.5714285714286,87.1428571428571,0,22.8571428571429,0,13.5714285714286,107.428571428571,18.5714285714286,9.15165714285714,0.367795273661613,0,0,0,0,0,1,2,"CC",NA,0.143791150739771,NA,0.78980391722578,0.0138982750921547,10.5555555555556,10.5555555555556,0.288354119611973,NA,0.310549210406943,0.193059462399986,0.496391327193071,0.39553527534008,0.410961980876527,0.0525066569422943,0.501449797613808,NA,NA,NA,NA,185770.823421205,225,0.0813933748651442,3.31689521337987,236.637568455116,0.579449870861044
1242470,0,1,0,0.445367941743873,0.132998446114832,0.421633612141294,0,100,42.125,5.875,87.25,0,29.375,109.5,15.0125,15.737313875,0.599938482046127,0,0,1,0,0,1,2,"CC",NA,NA,NA,0.723782211763032,0.276217788236968,32.8181818181818,32.8181818181818,NA,0.459860495889515,0.374019588288005,0.433357711170596,0.192622700541399,0.477089941501617,0.487541415898484,NA,0.263921715873517,NA,NA,NA,NA,413397.374097746,225,0.135005279303049,2.22502090678312,290.92246130741,0.551063500893064
1242471,0,1,0,0.286975588279445,0.523944139633255,0.1890802720873,0,100,56,4.44444444444444,76.4444444444444,0,26.2222222222222,88.4444444444444,12.3,13.3502576666667,0.681588649749756,0,0,1,0,0,1,2,"CC",NA,NA,NA,0.485324054096209,0.514675945903791,26.2222222222222,26.2222222222222,0.0866227969765722,0.0238973931567053,0.311135911120864,0.463859614163919,0.225004474715217,0.557447999715805,0.497866428330044,NA,0.374803863962932,NA,NA,NA,NA,467433.971678203,225,0.123040162958205,1.54394147045662,308.269555333505,0.527728522884546
1253990,8,0,0,0.654602099038977,0.0707992102640234,0.274598690696999,2.52173913043478,88.7826086956522,47.9130434782609,0,53.0434782608696,0,19.304347826087,120.347826086957,18.3565217391304,10.746796826087,0.471992164850235,0,0,0,0,0,1,2,"CC",NA,0.00257075150585079,NA,0.849135856075535,0.0229861369668831,18.3823529411765,18.3823529411765,0.0178412165759248,0.503572765700373,0.399837890005849,0.214413604865538,0.381839683615863,0.382204443216324,0.161895993528681,0.121955715237139,0.311290904611192,0.00335154021459171,0.00390882151274964,NA,NA,681314.664044595,225,0.0892242519444678,2.52415967062592,238.335069552519,0.562118959656433
1254153,8,0,0,0.45778823297735,0.0899676522558384,0.452244114766811,0,100,55.8181818181818,0,49.6363636363636,0,17.0909090909091,135.090909090909,22.1,10.3082644545455,0.375453591346741,0,1,0,0,0,1,2,"CC",NA,0.150106963499872,NA,0.759088604376002,0.0367466827319445,13.75,13.75,NA,0.48661096134033,0.418826224638834,0.186180075527402,0.394993699833764,0.322330310940742,0.128407155553742,0.054057749392182,0.272477643035672,NA,NA,NA,NA,844900.122198503,225,0.0828471957817505,2.52827197768527,242.463240231262,0.564153386574876
1459616,5,0,0,0.285900202131563,0.0301303629669357,0.683969434901501,2,78,65.8,0,20.2,0,16.6,110.4,17.25,8.9842881,0.575781404972076,0,0,0,0,0,1,2,"CC",NA,0.402923739779216,NA,0.560218611412709,NA,20.4285714285714,20.4285714285714,0.239057399674112,0.128806647189639,0.553830494742712,0.399189842325855,0.0469796629314333,0.292836710810661,NA,0.0368576488080752,0.189127253385713,NA,NA,NA,NA,592204.37281213,226,0.152298618787035,1.90915889759042,257.217258865612,0.505998794754891
1496930,5,0,0,0.078279886086128,0.00380015834870143,0.91791995556517,2.04347826086957,84.9130434782609,59.8695652173913,0.652173913043478,31.3478260869565,0,20,117.608695652174,17.6826086956522,10.7596156956522,0.208875134587288,0,0,0,0,0,1,2,"CC",NA,0.0667671756587457,NA,0.866324140154596,NA,19.9655172413793,19.9655172413793,0.161370769078276,0.189654528714814,0.206738159516907,0.00336172112193034,0.789900119361163,0.313684418797493,0.493678237597047,0.0600240974300034,0.52218342911816,0.00688458675665537,NA,NA,NA,3147843.46715057,225,0.117603815100787,1.90935123844441,269.138896419112,0.536069877662953
1513630,5,0,0,0.219862907942363,0.0307788772277198,0.749358214829917,8.53846153846154,79.9230769230769,56.9826923076923,0,23.5365384615385,0.75,18.8076923076923,101.884615384615,18.0403846153846,9.48272898076923,0.350350543856621,0,0,0,0,0,0,1,"CC",0.0216999532171052,0.247784813649668,0.174254064673563,0.412365478744497,0.012767408748796,20.0327868852459,20.0327868852459,0.114170162940161,0.274399002663316,0.476096282135374,0.205386972131862,0.317436582686378,0.419797718524933,0.0298657403384856,0.0498038742204162,0.278438588351515,0.0813244067459536,0.00108016304638614,0.0128884049888524,NA,7986866.28829038,226,0.121493650048837,2.91560142570849,242.802333188551,0.550967358425596
1532430,4,0,0,0.31858607995737,0.0284226313485495,0.652991288694081,4.52631578947368,63.8947368421053,54.7894736842105,0,9.10526315789474,0,12.7368421052632,99.3157894736842,14.8157894736842,7.45149257894737,0.334593579173088,0,0,0,0,0,1,4,"CC",NA,0.0399832607198206,NA,0.746704095436569,NA,14.0769230769231,14.0769230769231,NA,0.164614920307759,0.423272072958829,0.175497626324317,0.401230300716854,0.290943771600723,0.00751709922732812,0.158178331475514,0.637223487496906,0.0551343123680957,NA,NA,NA,2451213.43917334,226,0.0811543248840735,2.47518266443684,229.736799868415,0.571621569914415
