"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-Con","SurNA-NF","SurY-Con","SurCrClos","SurBA","SurM-75Pine","SurM-PineMix","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","SurIM-50_50","SurM-50_50","SurM-75Con","SurM-Pine","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
105246,14,0,0,0.125042150498633,0.0276164681482941,0.847341381353072,2.5,97.5,47.75,0,67.25,0,17.25,84,14.825,11.1093875,0.244572773575783,0,0,1,0,0,1,1,"CC",0.0746576340452325,0.891024111534711,0.0299826148385742,0.0043356395814828,15.5555555555556,15.5555555555556,0.525795769003355,0.365228342531356,0.107897295486131,0.813503441198374,0.0785992633154951,0.487833425402641,NA,NA,NA,NA,129692.77384629,229,NA,NA,NA,NA
105248,10,0,0,0.829090035483201,0.170909964516799,0,2.5,97.5,33,0,84.5,0,15.25,111.75,18.8,9.198897,0.471227437257767,0,0,1,0,0,1,1,"CC",NA,0.906219238614003,NA,0.00224266486586969,24.4285714285714,24.4285714285714,NA,0.86177093543521,0.154443528539263,0.845556471460737,NA,0.707192093133926,0.0268651821599349,0.0646729143601927,NA,NA,49857.1434515873,229,NA,NA,NA,NA
121798,11,0,0,0,0,1,6.25,93.75,71.25,0,93.75,0,37.5,103.5,14.425,12.72803,0.214496806263924,0,0,1,0,0,1,1,"CC",NA,0.486420987932173,0.279819759531527,0.0317884333704806,32.5,32.5,0.201970819165819,0.170748410596629,0.0640962526959407,0.282144758611529,0.65375898869253,0.561581134796143,NA,NA,0.201970819165819,0.315672577335544,19421.3536244346,234,NA,NA,NA,NA
121819,12,0,0,0.184727028505787,0,0.815272971494213,0,100,96.6666666666667,0,100,0,30,78,12.3666666666667,13.052157,0.054618526250124,0,0,1,0,0,1,1,"CC",NA,0.808304378217544,0.00576720710680289,0.185928414675653,20,20,NA,NA,0.519847606070305,NA,0.480152393929695,0.226408369839191,NA,NA,NA,0.808304378217544,13780.4248309016,234,NA,NA,NA,NA
121823,12,0,0,0,0,1,5,95,92.5,0,95,0,36.25,85.75,13.35,18.6548155,0.244641713798046,0,0,1,0,0,1,1,"CC",NA,0.90150374290477,NA,0.0984962570952304,36.25,36.25,NA,NA,0.242374515196534,NA,0.757625484803465,0.106259107589722,NA,NA,NA,0.90150374290477,15928.8156704473,234,NA,NA,NA,NA
1714639,11,0,0,0.755876800112662,0.10969105228022,0.134432147607119,0,83.3333333333333,24,0,59.3333333333333,0,21.1666666666667,134.833333333333,20.2333333333333,15.4714281666667,0.501504808664322,0,0,0,0,0,0,1,"CC",0.0830787146684275,0.887174855021585,0.0297464303099881,NA,17.875,17.875,NA,0.887174855021585,0.536170865119454,0.460172413094651,0.00365672178589535,0.415537849068642,NA,NA,NA,NA,130088.105428913,233,NA,NA,NA,NA
