dNBR_median,dNBR_cor,CBI_TOT,,,,,
1.003634691,1003.634691,2.569444444,,,,,
0.142980874,142.9808736,0,,,,,
0.142980874,142.9808736,0,,,,,
-0.05446497,-54.46496978,0,,,,,
0.682927668,682.9276681,2.25,,,,,
0.682927668,682.9276681,2.25,,,,,
0.099391751,99.39175099,0.458333333,,,,,
0.099391751,99.39175099,0.458333333,,,,,
-0.033502869,-33.50286931,0,,,,,
0.013868587,13.86858709,0,,,,,
1.052708983,1052.708983,2.277777778,,,,,
0.001041742,1.041742275,0,,,,,
-0.020085204,-20.08520439,0,,,,,
0.88790679,887.9067898,2.194444444,,,,,
-0.068683989,-68.68398935,0,,,,,
0.11621587,116.2158698,1.833333333,,,,,
0.506016135,506.0161352,2.055555556,,,,,
0.955950737,955.950737,2.263888889,,,,,
-0.021486102,-21.48610167,0.491666667,,,,,
0.927745461,927.7454615,2.069444444,,,,,
0.927745461,927.7454615,2.069444444,,,,,
0.864863694,864.8636937,1.958333333,,,,,
0.864863694,864.8636937,1.958333333,,,,,
0.944637716,944.6377158,2.027777778,,,,,
1.003634691,1003.634691,2.569444444,,,,,
0.142980874,142.980874,0,,,,,
0.142980874,142.980874,0,,,,,
-0.05446497,-54.46497,0,,,,,
0.682927668,682.927668,2.25,,,,,
0.682927668,682.927668,2.25,,,,,
0.099391751,99.391751,0.458333333,,,,,
0.099391751,99.391751,0.458333333,,,,,
-0.033502869,-33.502869,0,,,,,
0.013868587,13.868587,0,,,,,
1.052708983,1052.708983,2.277777778,,,,,
0.001041742,1.041742,0,,,,,
-0.020085204,-20.085204,0,,,,,
0.88790679,887.90679,2.194444444,,,,,
-0.068683989,-68.683989,0,,,,,
0.11621587,116.21587,1.833333333,,,,,
0.506016135,506.016135,2.055555556,,,,,
0.955950737,955.950737,2.263888889,,,,,
-0.021486102,-21.486102,0.491666667,,,,,
0.927745461,927.745461,2.069444444,,,,,
0.927745461,927.745461,2.069444444,,,,,
0.864863694,864.863694,1.958333333,,,,,
0.864863694,864.863694,1.958333333,,,,,
0.944637716,944.637716,2.027777778,,,,,
-0.022678966,-22.6789657,1.197222222,,,,,
-0.094559148,-94.55914795,0,,,,,
-0.108121395,-108.1213951,0,,,,,
0.063542835,63.54283541,1.861111111,,,,,
-0.084107779,-84.10777897,0,,,,,
-0.21305117,-213.0511701,0,,,,,
-0.064684726,-64.6847263,1.861111111,,,,,
0.654899299,654.8992991,2.683333333,,,,,
-0.140168875,-140.1688755,0,,,,,
0.594101727,594.101727,2.486111111,,,,,
-0.0686801,-68.68010014,0,,,,,
-0.125556991,-125.5569905,0,,,,,
-0.143563434,-143.5634345,2.555555556,,,,,
0.046101429,46.10142857,0,,,,,
0.046101429,46.10142857,0,,,,,
0.216130286,216.1302865,1.8,,,,,
0.216130286,216.1302865,1.8,,,,,
-0.12540473,-125.4047304,0,,,,,
0.27894488,278.9448798,2.222222222,,,,,
-0.009156134,-9.15613398,0,,,,,
-0.009156134,-9.15613398,0,,,,,
0.374728084,374.7280836,1.702777778,,,,,
0.374728084,374.7280836,1.702777778,,,,,
-0.101704597,-101.7045975,0,,,,,
-0.106068552,-106.0685515,2.291666667,,,,,
0.188890919,188.8909191,0,,,,,
0.162809908,162.8099084,2.388888889,,,,,
0.067283101,67.28310138,0,,,,,
0.361866772,361.8667722,2.402777778,,,,,
0.484232992,484.2329919,2.069444444,,,,,
-0.045049947,-45.04994676,0,,,,,
0.108316168,108.3161682,2.069444444,,,,,
0.108316168,108.3161682,2.069444444,,,,,
0.102957867,102.9578671,0,,,,,
0.102957867,102.9578671,0,,,,,
0.969387949,969.3879485,2.486111111,,,,,
-0.038745012,-38.74501213,0,,,,,
-0.05911861,-59.11860988,0,,,,,
-0.088765278,-88.76527846,0,,,,,
-0.083942734,-83.94273371,1.513888889,,,,,
-0.02395949,-23.95948954,1.833333333,,,,,
-0.086147472,-86.14747226,0,,,,,
-0.066350579,-66.35057926,0,,,,,
1.069962502,1069.962502,2.444444444,,,,,
-0.048300408,-48.30040783,0,,,,,
0.74635905,746.3590503,2.611111111,,,,,
-0.089567371,-89.56737071,0,,,,,
0.070920385,70.92038542,2.183333333,,,,,
0.947458684,947.4586844,2.638888889,,,,,
-0.091542654,-91.54265374,0,,,,,
0.861230314,861.2303138,2.444444444,,,,,
0.046290901,46.29090056,0,,,,,
